tweet_id,user_id,user_name,followers_count,friends_count,user_location,text,retweet_count
704818856481525760,3196739401,Ned Randolph,64,345,"San Diego, CA","Okay now let's get in formation.... GOP senator says even if Drumpf meant it on the KKK, he's better than Hillary https://t.co/UjQr6JWZzi",0
704818856745762816,3240278953,David S,3221,3186,"Palm Springs, CA",RT @wtx4bernie: Tag us in your #iVoted selfies if you voted for Bernie! #FeelTheBern,0
704818856557084672,279250517,Jason,48,118,None,@cnn projects @HillaryClinton wins Georgia and Virginia!  #SuperTuesday #ImWithHer,0
704818856997425154,295382544,Bella,245,309,New Mexico,RT @cnnbrk: CNN projects: @HillaryClinton wins Georgia and Virginia. @BernieSanders wins Vermont. https://t.co/nAz9i6Qi1d,0
704818856695603200,374587434,Kyle Midura,1620,300,"Burlington, VT",#VT called for @BernieSanders - @JohnKasich currently leading GOP field here per @CBSNews #vtpoli,0
704818856913735680,4795751938,Alex Pfeiffer,185,140,None,First to call Vermont was The Daily Caller Election Desk ....https://t.co/kubJyooiUT https://t.co/nkcEvFQF3s,0
704818857203142657,1450309590,The Life Of Pablu,370,239,Meriden CT,@Ajay_Ramirez Donald trump,0
704818857463193602,65555981,MargaretMaryWalsh,334,544,New England,RT @NHEconomy: New Hampshire’s unemployment rate dropped to 2.9 percent in January,0
704818857127473152,49479101,Laura,76,280,"Austin, Texas","RT @CBS6Kimberly: .@BenFolds performing now. Crowd at @BernieSanders #SuperTuesday event chants ""Bernie!"" Polls close in 10 minutes. https:…",0
704818857169580032,51792859,Gustavo Rojas Matute,12949,4851,Washington - Miami - Caracas,Hillary se lleva Virginia y Georgia. Sanders Vermont donde es Senador.,0
704818857081372673,96662260,NO DMs!!,1509,1342,Worldwide!,"RT @CNN: BREAKING: CNN projects @HillaryClinton wins Virginia &amp; Georgia, @BernieSanders wins Vermont https://t.co/GgxMgrIyS1 https://t.co/k…",0
704818856909529088,1903998816,Boom,561,1328,Parts Unknown,It's now a national past time to watch @megynkelly squirm and puke in her mouth while she reports @realDonaldTrump wins again! #Trump2016,0
704818857324756992,84890844,Demarian sewell,52,46,Atlanta Ga,@neiltyson i new my mane man would drop that knowledge lol #FeelTheBern #SuperTuesday,0
704818857509310464,19556943,Matthew Smith,2415,1128,"Lexington, KY",RT @CBSNews: BREAKING: CBS News projects @HillaryClinton wins GA and VA primaries; @BernieSanders wins VT https://t.co/NsEIZa49Zz https://t…,0
704818857677082624,17030149,Stephanie.,7232,7397,"Brooklyn, N.Y.",RT @cnnbrk: CNN projects: @HillaryClinton wins Georgia and Virginia. @BernieSanders wins Vermont. https://t.co/nAz9i6Qi1d,0
704818857182044160,2715905378,Ian McPherson,75,89,"Moreno Valley, CA",RT @cnnbrk: CNN projects: @HillaryClinton wins Georgia and Virginia. @BernieSanders wins Vermont. https://t.co/nAz9i6Qi1d,0
704818858062909441,17825817,FOX's Dave Kinchen,4676,3050,"Philadelphia, PA",RT @FoxNewsInsider: .@KarlRove Reveals 'Magic Number' of #SuperTuesday Delegates @realDonaldTrump Needs Tonight https://t.co/7hRBza68Ra htt…,0
704818858201374720,69171795,Petey RobLowe,2182,625,the local Popeyes organization,MSNBC just called Hillary the winner in Georgia &amp; VA. Bernie has taken Vermont.,0
704818857710452736,18548184,ɹoʇɐuǝʌou,12244,11118,Minnesota,"Naomi Klein Supports Bernie Sanders ""Hillary Can't Be Trusted"" https://t.co/vkK2xwH29f https://t.co/xG23M21a0Z",0
704818858180399105,528501086,Bona Dudok,145,870,Everywhere,Last Week Tonight with John Oliver: Donald Trump (HBO) https://t.co/YpMPAxQEB5 via @YouTube  #MakeDonaldDrumpfAgain,0
704818858243166208,2305518517,malik,1667,1078,None,OG Bernie sanders.,0
704818858566291457,471490886,Dawid Dureyko,208,522,"Warsaw, Mazovia","RT @cnni: BREAKING: CNN projects @HillaryClinton wins Virginia &amp; Georgia, @BernieSanders wins Vermont https://t.co/szSF5WyjNt https://t.co/…",0
704818858708901888,53981431,MS4TdCrz45Prez16,197,12,Virginia,"RT @tedcruz: .@HeidiSCruz: #ChooseCruz before the polls close on #SuperTuesday: https://t.co/LhSVEXvnD1
https://t.co/1P4S8KhuWf",0
704818857756626945,36126343,SteveStanfill,36,71,"Laguna Woods, CA.",RT @ImwithHer2016: Hillary takes Georgia and Virginia #SuperTuesday ⭐️🇺🇸⭐️💙,0
704818859027595264,807472957,Linda Angry American,2190,2035,Michigan,RT @Campaign_Trump: Donald #Trump loves America. I have know Donald for 9 years now &amp; have only known him to LOVE AMERICA &amp; ITS PEOPLE. htt…,0
704818859006631938,1210029865,p reardon,334,449,ny/la,RT @OccamsRazorCuts: You mean let Hillary pic Justices because your candidate lost in a free primary election? @DennisMWhiteJr @SooperMexic…,0
704818858960429056,635669201,LEO MASSBERG CHIRINO,144,606,None,RT @RAYMUNDOLARROUS: @lasillarota @realDonaldTrump @SeleeAndrew EEEEEE PLUTOOO https://t.co/BaXq2fVRGI,0
704818858851442689,1372786812,Tim Gradous,27386,27025,Home of MASTERS ⛳️,"RT @TexasSheBandit: IT'S CRAZY...
Vote for the lifelong Conservative
#SuperTuesday👉#ChooseCruz!

#NeverTrump #DumpTrump #CruzCrew #PJNET ht…",0
704818858796777472,1241924209,kristinachavez,238,229,None,#FeelTheBern,0
704818859165896704,155007194,Dinah Zeghir,1994,1712,None,"RT @CNN: BREAKING: CNN projects @HillaryClinton wins Virginia &amp; Georgia, @BernieSanders wins Vermont https://t.co/GgxMgrIyS1 https://t.co/k…",0
704818859367374849,146408874,Mimi Mayes,9483,6748,  Nashville,"RT @YugeMilo: 🚨 https://t.co/GknlD8Eye2 Founders Endorse #Trump #SuperTuesday #AlwaysTrump 
read: https://t.co/OwpZT3wljE https://t.co/lLTb…",0
704818859241418752,29681055,Hamish James,1421,162,"Auckland, New Zealand",YES @HillaryClinton !!,0
704818859333783552,1738057094,Samuel Gervais,231,466,"Québec, Canada","RT @Hillary4Florida: BREAKING: Hillary Clinton wins Virginia!!!

😍🇺🇸#VAPrimary #ImWithHer #Florida #HillYes #SuperHRC #SuperTuesday https:/…",0
704818859526721536,27792169,Erika Leigh,3547,684,"A meadow that is long, Mass.",@CNN projecting Hillary Clinton has won Virginia and Georgia. Bernie Sanders has won Vermont. #SuperTuesday,0
704818859803549696,2220577731,manthar,342,437,None,RT @Chicago4Bernie: #MoveBillGetOutTheWay Hillary campaign is so scared they have to make use of vote suppression to keep @BernieSanders su…,0
704818859694530561,892355978,RJ,5067,4961,None,RT @redsteeze: Holy crap https://t.co/BjdWFxcUA2,0
704818859753279488,10424512,Lex Alexander,2038,1922,"Greensboro, N.C. USA","RT @MaxBoot: Trump has endorsement of Duke, Le Pen, Farrakhan, now Putin. Some company for Trump voters to keep! #NeverTrump https://t.co/0…",0
704818859644051456,2696919212,RRosieFS,424,829,United States of America,RT @FoxNews: .@newtgingrich: “I do think that it’s very likely… @realDonaldTrump is going to lead almost everywhere.” #FoxNews https://t.co…,0
704818859618885632,322605927,Robert D'Onofrio,18,36,"Vilonia, Arkansas",@realDonaldTrump @DonaldJTrumpJr Think I've done like a thousand tweets to you guys.  Waiting for that first retweet.  Lol,0
704818859828580352,3228488359,My Info,13,23,None,@DonaldJTrumpJr @KingVantes @realDonaldTrump @KatrinaPierson @DanScavino awesome thank you,0
704818858910203904,3241665624,mami,323,303,Dreamville,If Bernie doesn't win I swear,0
704818859887325184,20831559,Sequence Media Group,891,446,"Scottsdale, Arizona",Donald Trump Projected To Win The Georgia Primary #SuperTuesday #DonaldTrump,0
704818860290088960,1969187556,Nacion Roja,284,323,Peru,RT @GmoneyRainmaker: Media is in the tank for the #GOP Establishment &amp; Pundits have no clue on how to handle @realDonaldTrump so exciting 2…,0
704818859589529600,93433395,Matthew Dodds,2803,3026,"Boise, Idaho","10/10 if Trump or Hillary win the election, I'm leaving the country. Go vote, you fuck heads.",0
704818859107184640,32540985,Craig,103,239,"Ann Arbor, MI","RT @realDonaldTrump: ""@david_j_roth: ""I was never one who looked at success as bad. For me, success was always good. I loved it, and still …",0
704818860227227648,2793454852,mercenary squirrel,30,105,Bmore Md,@mbrown1939 @megynkelly @realDonaldTrump that still doesn't change the fact that he is just as big a snake oil salesman as @SenSanders,0
704818859954597888,838627057,George Fayner,718,1058,"Solon, OH",Congrats @HillaryClinton on winning Georgia and Virginia! #SuperTuesday #ImWithHer,0
704818860684349444,3991235537,Kathryn,725,308,St Petersburg Florida,"RT @chriskyleband: #SuperTuesday 
WE
HAVE
SPOKEN
No More GOP Losers 
GOP Gave us OBAMA
@realDonaldTrump @CKB_STORM @BOSSYtxmar55 https://t.…",0
704818860923420676,3095675223,Lnilsson,82,127,None,"RT @TheCarCzarsPage: Why @realDonaldTrump Wins: US economy is getting better, but workers worse off https://t.co/LOcFI7hi9J @LoriPatriot @R…",0
704818860864573440,155553361,Deon,425,312,Kame House™,RT @CNN: Valdosta State University students escorted out of @realDonaldTrump rally https://t.co/TAgopy6xQP https://t.co/ByakFvsdS2,0
704818860818632705,2978406226,Άρης,443,702,Αθηναίος,RT @intlspectator: BREAKING: Hillary Clinton is projected winner in states of Georgia and Virginia,0
704818861179326465,857297479,yung farmer,1821,329,wisconsin,RT @hellaphantitis: If you vote for trump today you are basically voting for Donald trump to be the republican nominee for president,0
704818861120487425,33777803,Ronica Cleary,3052,585,DC,.@FoxNews calls @realDonaldTrump &amp; @HillaryClinton the winners in #Georgia. #SuperTuesday,0
704818861191925764,370994638,Holli Would✨,1824,913,flawrida,RT @villageboytoine: They don't hear u g  https://t.co/ZzeaXDjdGz,0
704818861351292928,1431360872,blackbrat,377,557,"Bronx, NY",RT @SaireMusic: Young voters are in college meanwhile poll locations are in their hometowns. So. There's that. https://t.co/BOcUJEYmsx,0
704818861682663424,383064409,CoachKjr,194,143,"Los Angeles, CA","RT @DiamondandSilk: If you're voting for @realDonaldTrump Please look at your ballots closely. Once you vote, check 2 make sure your vote w…",0
704818861367930880,1463431370,W.B,314,340,Dark Paradise,RT @nastasialynn: AMERICANS GO VOTE FOR @BernieSanders. 🙏🏼🙏🏼🙏🏼 #SuperTuesday,0
704818861997211649,3146191365,YoungPros4Rubio,1475,1539,USA,RT @MichaelRinker: #NeverTrump #Rubio2016 @marcorubio #SuperTuesday https://t.co/ovB88l99ku,0
704818861703602176,3268453153,Political Bread,60,205,Israel,"RT @CNNPolitics: #Breaking: CNN projects @HillaryClinton wins Virginia, Georgia; @BernieSanders wins Vermont https://t.co/DkPyle0Wrv https:…",0
704818861879656451,3005365862,Gary Blocker,2675,2407,"Texas, USA",RT @ChrisLoesch: Lord help us. That's the dumbest group of people on the planet. https://t.co/ZPjLncfiIy,0
704818861976125440,2374469136,Luc Matte,1570,1181,None,"Hillary gagne deux états (Georgie, Virginie), Sanders gagne le Vermont (sans surprise) selon CNN #SuperTuesday",0
704818862177525761,1973411634,Bat,318,118,GCC or what left of it!,RT @GmoneyRainmaker: Media is in the tank for the #GOP Establishment &amp; Pundits have no clue on how to handle @realDonaldTrump so exciting 2…,0
704818862210953216,424621873,Jan Gulliver,274,444,None,RT @GeorgeBludger: [Trump is] no ordinary con man. He's way above average — and the American political system is his easiest mark ever http…,0
